Mass_Tag_ID,A1_run1,A1_run2,A2_run1,A2_run2,A3_run1,A3_run2,B1_run1,B1_run2,B2_run1,B2_run2,B3_run1,B3_run2
1110,2689555.5,3858930.5,993711.5,4054373,212828.5,1354639,2646958.5,4215310.5,2395718.5,3395022.5,2270335,1502375.5
1196,8452637,17644954,3343511.5,25445915,431537.5,5806104,12136673,23106543,13453629.5,15346633,10905522.5,11182215.5
1198,194553,,,1173216.5,78102.5,38049.5,295809,344000.5,700626.5,519467.5,,
1201,4376809,8152249.5,1876506.5,8995935,3935170.5,4157967,5816490,9463153,4425310,4695377.5,4733708,5049614.5
1208,26169.5,,50717.5,1698971.5,,,,,277434,,,
1246,10280868,18259524,5528576.5,18416211,388804,6554037,12826866,21007110.5,8861811,9595404.5,9153061,12288846.5
1253,18023320,26589118.5,8953370,10383269.75,1157851,7371138.5,22521704,35287875,11818103.5,15529464,12820092.5,16085573
3569,,132672,,,792676,5420322,,,,,787922,1069014.5
5931,,48829.5,33390,,2042572,2412683.5,,,300833.5,98458.5,295705,283372.5
7415,1616997,2074135.5,687822.5,2099365,4925697,36316297,2647656,3794219,2344746.5,3223102.5,2403686.5,2519238.5
10956,7097182,16254323,2828003.5,9975993,2073068.5,8657185.5,3708475.5,9570209,1912576,2604689.5,6854540,11590928.5
11984,162628414.3,259259094.3,63149788.25,213388225,14187779,70467966.75,172279511.5,600566142,246148442,364831346.5,185502320.5,206086712.5
13878,8559568,12290262.5,8445653,26538946.5,1933008.5,17870073,4798293,7644683,3877002.5,4510683,7239940.5,8660692.5
14184,,,,,843815,4859363.5,934301,716539.5,,600322.5,,
15609,734982,948968,103574.5,323232,,743721,361136,565968.5,201597.5,137368.5,244978.5,273516.5
23346,12616921.5,18947579,234992,2196652,1712263,8324825,132389,,453576,510739,9138835,10012313.5
30748,915354,2092148.5,270959,1413731,50329,523041.5,1256969,1636500,1108492.5,1391226.5,1376482,1540493.5
216191,1485456.5,1801423,332217,1804200,12123.5,178919.5,945194,2123487.5,743114,412441.5,1584483,1697557.5
539052,1478261.5,1710883.5,,1705249,62050.5,811756,1365103.5,1322571.5,1777430.5,2192190,1496727.5,2056870
2406964,539721,468924.5,,565481,,,371097,869279.5,693203,1040348.5,872134,636955
6566079,115180.5,,,225787,,198524,113338,151013.5,,315164,217050.5,371587
6671504,36844.5,193851.5,12779,24938,,,66700,51785,,,390460.5,570454.5
6709133,597305.5,817242,422517.5,638881,38991.5,104918,1485409,2582874,674101.5,795074.5,2231772,2341699
6732308,1030967.75,2023867.25,446664.75,1567515.25,944774,1752577,1990172.5,3577219.25,2317509,3346710.5,2327710,3181508
6771226,3627259,5880875.5,1754959,4721624,317530,2190686,2909655.5,4367440.5,2703829.5,2809278,4726483,6378376
6859822,675427.5,1597604,345275.5,1510026.5,99454.5,650763.5,802070,1336738,550696,721925,809236,1253372.5
6882545,,,225120,565236.5,,,,311252,266764.5,121377.5,221272.5,207915
6948817,1409011,1163373,829161.5,507404,75986,1270586.5,890675.5,1160533,1474703,905313,751597.5,1621557.5
6948822,,,6506126.5,,6251158.5,10369147.5,10000446.5,15617602,,,10454360.5,12362462.5
6948827,1549958,954274.5,1405441,1628891.5,161089,809094,416148.5,328208.5,2248487,1802562.5,2337506.5,2153548.5
6948829,586878,703799.5,390553.5,1220714.5,253022,542847.5,332797.5,319624.5,709690.5,697639.5,879558,952568
6948830,1705887,1928107.5,1178140,2833253.5,1242104.5,1248735,1202426.5,1658507.5,1168367.5,1191939.5,1606493.5,1802139.5
6948836,230159771.5,131462077,44357361.5,539097593.5,60970050,69615011,75486009.5,159177154,195295392,79481087,111421954.5,122946019.5
6948841,426672,856484.5,166850.5,1533116,41493,671931,987196.5,786066.5,909605.5,1076294,1433190.5,637721
6948847,7188129,9636817,2707213.5,7869564.5,236122,,1819526.5,3005982.5,2805906.5,298171,13183867,13428765
6948850,11846570.5,14630786,5232965,20435440.5,1749123,8698269,8649248,10827241,11905627.5,14716394,15890129,16458728
6948851,428973.5,171480.5,197422.5,685563,,,384040,669830.5,743067.5,,1155430,185881
6948852,12011393,13910735,7389097,15368056,1507446.5,8052949.5,10396336,15596264,9501839,10403228.5,14354077.5,15275868.5
6948856,,112215,212819,,,268901.5,,842904,,,703274,963362.5
6948863,297392.5,159993,906793,63003,197431.5,198302,272058.5,192613.5,260595,,312395,456563
6948865,1328238,1796224.5,866637.5,2834710.5,1148317,1194384,1327024,2062655,1335192.5,1574755.5,1799042.5,2124022.5
6948873,,,152155.5,271742,3138869.5,3059915.5,423304,448798,413539,449018,33932,298856
6948877,170994,34665,122052.5,179439.5,74395.5,34773.5,236094.5,260324.5,341846,61363,286883.75,259472
6948879,13925988.5,15011726.5,7385172,21897447,9869322,11110043,13921862.5,22644649.5,18061615.5,17745432,20491410,19327821.5
6948880,376642.5,,768183.5,583571.5,,259583,767389.5,1401701.5,937588,572815,1033657.5,943281
6948884,567805.5,,354463,,19235,59782,53315,801465,451190,,2018206,2121504.5
6948887,,208159,,161432.5,,,,,86112.5,,,
6948890,259938176.5,294091892.5,87589595.5,412115573.5,41742693.5,193689902.5,239077106.5,424514586.5,254232519,315625306.5,264771373.5,257266236
6948892,155061.5,431833,,,,,,,,,32401407.5,34105881
6948893,56947.5,,,,,,,,,,3211371.5,2063116
6948894,1544577,384955,847131,4697071.5,,710974,1346652.5,2057800.5,1405927,1135579,212442.5,2054538.5
6948896,427441.5,1027779,,1168430,,397546.5,971547.5,1599168,705142.5,,783196,654423.5
6948898,1109942812,1342695827,679133252,1813186912,459673646.5,483854716,1130411054,1762273916,1190534438,1223791118,1018849846,1093779798
6948899,1440046.5,,560882.5,2555545,49840,698948.5,1211873,1863946,1139284.5,1494033.5,932223.5,1073340
6948901,1520855,2044323.5,540503,2816158,94872.5,811205.5,980520.5,3270879,1669816.5,1192953,2579267,2610606
6948903,3846975,5767899.5,2156941.5,5968617.5,2388706,2754203,2327279,5832642,1868827,4852224,5200680.5,4406482
6948904,3942189.5,4246729.5,2059722.5,4582477,3227801.5,3196799.5,4717479,7657775.5,3796805.5,3682556.5,3973800.5,4948112
6948906,875683.5,407365,1149789,312744.5,1237318.5,1441488.5,1621798.5,2009299,1514379.5,1434668.5,981319,1522006.5
6948911,,,,,,,,,109855,,255313,92627.5
6948913,28109.5,,68626,187120,,,107049.5,214434.5,,,,32887
6948916,1345531,766110,676221.5,1158445,190746,1842849,1226205.5,3353411,1656884.5,1344454.5,878334.5,286335
6948918,6979736.5,10572519.5,990541,5952986,,787075,,,,,90041197,87024472.5
6948922,206369,76023,91487.5,45364,,,181107.5,61907,113779.5,99869.5,712120,860745
6948929,6451090.5,6718690,2810162.5,13810551,1868624.5,2003913.5,6061997.5,10545409,6306877,4994080.5,7438767,6140641.5
6948930,59093855,84430739.5,12225134,44277361.5,1292205.5,10346289,10319607,21049993,8773243.5,14103418.5,83433063,90867475
6948955,2945872,3511203,1642253.5,5247589,141919.5,1634255.5,2943594,6500017,3605141.5,2662209,1444079,1804337.5
6948974,3148240.5,3527357,2034224.5,5077228.5,450316,2393174.5,3514135,5784947.5,3810723.5,4031839.5,3546785.5,3428738.5
6948987,3458743,4356226.5,1200184,3543984,176977,1489343,3079165.5,3651543,2596790,2977633.5,2804788,3347243.5
6948991,25369087.5,36106600.5,16070499.5,52024264.5,4057109,22094299,24505086,38632372.5,18071181,21519516.5,36589944.5,40654365.5
6948995,140312.5,122332.5,59978,127103.5,,,,179140,,,587966,639461.5
6948996,3102743,1472138,1309508.5,2202988.5,158864,1875164,3815786,4180859,3661107.5,3881928,2188934.5,1643336
6949009,3914445,5199587,1834586.5,5694173.5,364776.5,2303050,2844281.5,4890577.5,2498934.5,2657811,5027009,5164718.5
6949025,801063,1876140.5,614461.5,1629635,83950.5,871083,1483074,2461757.5,617460,989004,494798.5,1352410.5
6949031,,1906073.5,784437,1929087.5,,754602.5,733538,1410822.5,880318.5,,2512313.5,2327940.5
6949040,563199,938905,553505.5,2468508,,420716,626597,1428388.5,296867.5,492224.5,806412,1078833.5
6949074,1592079.5,1436320.5,196246.5,3235375.5,149235.5,570533.5,350013.5,1774490.5,1733112,1351338.5,1632995.5,1134313
6949080,6281077,10046643.5,3362505,11930451,717508,4866637.5,8243931,13390606.5,5588458.5,6635148,6371897.5,7963330.5
6949082,6053858.5,5996205,2299515.5,9444382.5,599865.5,2361908,5655561,9075139,5414054.5,6234155.5,7654807.5,8009599
6949117,1506097.5,4185542.5,1943026,6172742.5,2606849.5,1613699,4740458.5,6278977.5,4246904,3937052.5,1005598,1397411.5
6949133,,324314.5,,426750,,23898.5,173707.5,,263905,,1197215.75,1012347.75
6949162,717409.5,,179872.5,790433,,279998.5,691889.5,1153290.5,745998,963028,858619.5,818411
6949166,1245031,1611691,22852.5,403615,,100207.5,,,,,7458770.5,7229599
6949173,747825,1709376.5,94662,3586238.5,22058,458528,582942.5,1505836,768240.5,973186,319503.5,601010
6949186,5776936,9255119,3528330.5,12235366,379139,4267917.5,8118898.5,11601142.5,6050058,8036041.5,6895377.5,7964490
6949251,615884,,439283,485281.5,363252,372316,376012.5,541088.5,332678,,457735.5,317628.5
6949275,17237472,2334039.5,8961880,39527536.5,42950010.5,51109348.5,2650524,14652,28476819.5,3095538.5,2474586,162726252.5
6949300,9981124.5,14902569.5,6153360.5,20149692,1202596.5,9959028,13729789,23308229.5,12299609,13886196,16462931.5,17542464.5
6949379,128312,,,,,,,118364,,,20181,
6949470,186744.5,109593.5,51919.5,1025695.5,,46796,,480944.5,184557.5,,300536.5,
6949511,575016,715595.5,940488.5,2520178,684045.5,954034.5,1156165.5,3255477.5,,433537.5,1101741,1844886
6949515,1445815,2088224,462156,3101744,70323.5,975915.5,528084.5,620673,1400347.5,1377654.5,1938239.5,2039430.5
6949584,2941658,3502595.5,1052441.5,2524123.5,68101.5,962169,390198,801543,1154076.5,1052500.5,5108150.5,4432560
6949644,5700369,7757814,3062932.5,12130495,2528369,3947062,5954159.5,10437451,5774295,6673187,6859544.5,7592100
6949681,347338,466886.5,,,,,305405,463718,231087.5,358374,187555,357794
6949692,74027.5,780259,188936,834578.5,481756.5,15542,709568,595831,648844,604755,524126.75,244664
6949763,67195130.5,139711428.5,55676286.5,193907837.5,86190158,90311579.5,120570077.5,202724560,55715745.5,67036275,92468498,132262354.5
6949974,649834.5,929007.5,412387.5,1504042,635082,454114,738295.5,1487044,827689.5,333226,708102.5,1127349
6949994,257045410.5,418657995.5,52985241.5,341209369.5,109768549.5,118656477,293836898,480750740.5,234386091.5,289302070.5,273615228.5,298994847.5
6950069,8974368.5,15705696,,,,74079.25,137860,,88219.5,,41870217.75,49746452.75
6950303,406579,805614,176249.5,838251,,429957,565526.5,620898.5,427403,651266.5,760332,837073.5
6950560,2612575.5,5165380.667,200856.6667,631587.5,73828.5,561743.6667,1567665.167,2960970.833,5044726.667,7064375.5,2072085.833,2749263.167
6950879,,,,,,749018.5,2256490,,552166,878364.5,1737422.5,
6951213,117468278.5,215735614,51848667.5,220221443.5,12749607.5,121330571.5,141568852.5,247831824.5,117889951.5,165907767,67017623.25,84889856
6951971,485246.5,908954,192660,950967,502255,379903,736280.5,1188946.5,729184.5,778359.5,653360.5,986841
6952077,1046781,1213861.5,580653.5,1676414,19598.5,672295.5,930512,974798.5,222601.5,477814.5,,159348.5
6952233,1399685,2236663.5,639306.5,1851203,,877562.5,2126335.5,2288711,1231843,2176865,1250626.5,1325715.5
6952289,669356.75,1651681,386561.5,2862469,302244,496929.5,1588180.5,3639951.5,2027294.75,3924618,2262462.5,1660510
6952291,225252.5,396426.5,64943.5,400519,173647.5,143891,357004.5,,367494.5,474204.5,357548,213062.5
6952336,266720142.5,382829997,94758401.5,618872321.5,89337983,96572498.5,337237495.5,679040423.5,409361683.5,479062775.5,452193205.5,392320829.5
6952411,1311304.5,2664129,880936.5,3256099.5,748041.5,622417.5,2454581,3429762,2072868.5,2920948,1198960,1465507.5
6952472,176959,,302962.5,126908,,285930,,362993.5,365570,601530.5,253106,553139
6952474,199396,63957.5,269718.5,91795,133898.5,321408,266672,278213,585559.5,663939,799517,881498
6952476,682026.5,88154.5,1791085.5,68121,304420.5,198584,2940766,3044028.5,2647150.5,943423.5,3109908.5,4415847.5
6952480,560006,663239.5,171223,1270186,11620,453196,616692,708285.5,658955,702916.5,182577.5,388481
6952482,307580.5,316370.5,26777.5,203559.5,27642.5,,12530.5,,26788.5,70035.5,260770,219134
6952487,375589,1011905.5,,132271.5,,,,,,,3720111,2909506
6952489,973831,1747182,630844,1857328.5,95232.5,1061216,1158606.5,2226099,1177035,868858.75,1231355.5,1373151
6952494,712198.5,693812,233543,1498376.5,,532869,791926.5,,535902.5,402472,1111449,736519.5
6952498,4397524.5,5040883,2214991,6736608.5,340529,2801924.5,5239792,7804615.5,4488113,4557750,5447897,5010001
6952518,3439820,3568766,895175.5,2320273.5,128244,1623017,1219214.5,2574427.5,688491,812431,1870835,1646650.5
6952604,954024.5,425095.5,516985.5,1860308.5,597899.5,911711.5,1364649.5,2832728,713755,951864,1409574,1711020
6952617,164899.5,,81587,370940.5,,181916,149599.5,120301.5,,35654.5,137783.5,79656
6952818,109014316,178609217.5,44230207,196103784,3557901,89028168,103133265.5,188865225.5,127987910,163737116,119929793,143713263
6952897,204708,452155,92371,61742.5,147490,180872.5,376598.5,337908.5,378774.5,311573.5,381134,501678.5
6952992,1393791,624379,648081.5,3968773.5,663681,812044,1210087.5,2681413,1326756,1615288.5,2238150,1863824
6953491,323788.5,221162,214347.5,1376196.5,15075,285977,147676.5,368927.5,213245.5,,225384.5,186624
6953711,1286346.5,1663185,362701,981136,,629488.5,1758672.5,2899456,1656913,1350697,1984294.5,2274526
6953831,179749.5,302516,180293.5,1031031.5,241513,321828,807889.5,1042298.5,148180,373749.5,426923,893569.5
6954164,2234268,3604456,892649,4268077,213273.5,2100210.5,2702599.5,5939519,2711489.5,3018278,2997854,3722435.5
6954364,580644.5,943644,,1675982.5,900601.5,638535,1699450,2871844,776474.5,741943.5,1091834.5,1513409
6954515,35449.5,,,68964.5,,,,,,,143115,287567
6954783,166241,246288.5,52984,264553.5,44619,90954,,,,,69179,
6954828,2246433.667,7057740.25,219209.5,921467.75,212252.75,444741,1876402,2220561.833,4020537.5,6871826,1767972.833,2125979
6954856,4416181,7580984,2063689,6395557,485757.5,4927775,6658575.5,9432444.5,4404354,5702418,5785304.5,7408111
6954938,330583,336336.5,31635,1550116,,168273,369263.5,949119.5,827751.5,581574,777420.5,267978
6954971,,386859,236766.5,366891,8186,15799,,,,,1053469,881698.5
6954976,160411.5,,17762.5,,32931,56288,,,,,207430.5,317420.5
6954978,433358,657017,371825,1134146,42616.5,631187,467329.5,616674.5,409994.5,432730,617983,541224
6954995,1879214.25,2078679.25,703143,3373594,786311,893911.75,1462378.5,2456627,2050199.75,1982088.25,1300201.5,1243659
6954996,381954,604349.5,890132.5,1026835.5,32460,1005222,1002039.5,1051984.5,409164.5,527905,1560752,1873014
6955001,107230.5,81836.5,,108769,,475577.5,,,77991.5,24255,,
6955005,1564292,1103519.5,898279.5,1376890,988096.5,1170078,1211650.5,1483584.5,958179.5,1055198.5,1355059,1388773.5
6955012,9076827,10013090.5,5654698.5,13086543.5,5268870,7446823.5,9092079,12770152.5,7849795.5,8477735,9967940,10318944.5
6955014,5488058.5,5884492,2568260.5,8273903,4358928.5,4304280,7134732.5,11397089.5,6918859.5,7763226.5,6594057.5,6567008.5
6955022,247607.5,263903,341220.5,707323.5,54947.5,748942.5,741797,576198.5,494111.5,658072,812243,579165.5
6955036,1175119.5,1094497,136768.5,615454.5,35725.5,65333,78993.5,107346.5,149520.5,295320.5,434575.5,357991
6955037,1297894,1519390.5,418471,2082626.5,384260.5,536727.5,1043010.5,1373074.5,1094868,1192300,1173248.5,1243785.5
6955038,4457824,922993.5,,,,172265,,,,,29907114.5,37948488.5
6955040,2876827.5,4689111,1958135,2660203.5,465012.5,4316360,783825.5,5702253.5,2061294.5,3092936,4022449,3596871.5
6955043,5037886.5,6381830,2736568.5,11379060,799090.5,4026649,4962111.5,8803384.5,6015564,6082538.5,5846612,5464391.5
6955052,2322853,3357785.5,1994730,3881305,595058.5,2097124.5,3477776,4039711.5,1843461.5,2263781.5,1807115.5,2144225
6955053,21426213,29465504,9231331.5,33028893.5,1471661,11092472,24439866.5,36284341.5,23446865,23459911.5,18128051,18202644.5
6955055,373798.5,249517,22995,116442,265931,135283,165568,278855,382239.5,90017.5,359177,288381.5
6955060,46237,,,,,46495,,,,76226,,
6955086,14055387.5,17740418.5,77275,2672349,,1766367,,,,,53985138.5,58182950
6955105,7404161.5,11809400.5,12261900,29256862.5,3347792,13475156,17388484,28115118,5091690.5,5234209.5,12264537.5,15612456.5
6955108,856461.5,951346,550596.5,2510615.5,6172,677702.5,953050.5,1897948.5,920958,1053320.5,1955665,1323733.5
6955116,505517,301197,67888.5,473583.5,,97494,,,20552,,1754288.5,1448414
