MinOfORF,Mass_Tag_ID,CTR_,P10A,P10B,P11A,P11B,P12A,P12B,P13A,P13B,P14A,P14B,P15a,P15B,P16a,P16B,P17a,P17B,P18A,P18B,P19A,P19B,P1A_,P1B_,P2A_,P2B_,P3A_,P3B_,P4A_,P4B_,P5A_,P5B_,P6A_,P6B_,P7A_,P7B_,P8A_,P8B_,P9A_,P9B_
IPI:IPI00000138.1,33471487,,,,0.680035201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.438882784,,,,-1.709478911
IPI:IPI00000477.1,7713101,,,,,,,,,,,,,,,,,,,,,,,-0.820886869,,,,,,,,-0.708212499,-0.847123197,,,-0.226409728,,-0.514519014,,-0.954028918
IPI:IPI00000494.4,7039404,,1.868825283,0.072871514,1.59805297,-0.502316785,-0.126530847,0.549524044,1.15591342,-1.105473041,-0.779873967,-0.829294589,-0.059752356,-1.213570303,-0.350967602,-1.46262569,0.434470953,-0.413900286,-1.234908241,-0.925202472,,1.454606211,-1.118906284,-0.554871699,-1.204171088,0.230309695,-0.673396014,0.267742133,0.118061142,-0.325933486,2.048080567,0.07408681,-0.222762779,0.610153672,-0.804975027,-0.630031075,0.684983479,0.2896196,-1.428982453,-0.024182833
IPI:IPI00000816.1,6969520,,-0.211270925,,1.146339917,,-0.496720839,,,,,,,,,,-0.707678796,,,-0.576019953,,,,-0.279498106,,,,-0.541587759,,-0.698734889,-0.200867199,-0.713399876,-0.627702651,,,,1.239804893,,,
IPI:IPI00000816.1,6971858,,-0.706005718,0.026220908,1.004171762,-1.192608327,0.057935743,-1.137584771,-0.554621831,-0.148608764,0.588912954,-0.43704063,,0.485445259,-0.389367404,-1.054788707,-1.160289448,-0.695344985,-0.583189691,0.185265561,-0.170839029,-1.563095207,-0.886263133,-0.575937434,-1.14948907,-0.830608062,-0.792314101,-0.638128804,-0.605150907,-0.078936509,0.085561477,-0.253971717,-0.932939688,-0.689922858,-0.593200282,-1.391607838,1.21641775,-0.775560856,,-1.19095739
IPI:IPI00000874.1,6955366,,,,,,,,,,,,,,,,,,,,,1.118249276,,,,,-0.232590181,,,,0.137507331,,,,,,1.669183654,,,
IPI:IPI00001539.8,15935577,,,,,,,,,,,,,,,,,,,,,,,-1.498908531,,,,,,,,,,,,,,,-2.101923572,
IPI:IPI00001610.1,12521530,1.446527903,0.893241865,,,,-0.230779682,0.741704114,,,,,,,1.932933952,0.437692985,0.681950838,,-0.340440919,0.942486895,,0.511710861,,,,0.947739478,,1.840876853,0.608360175,1.063383182,1.899725536,,,,,,2.457635294,0.71863314,0.099852769,0.38130801
IPI:IPI00001611.1,12490399,1.626774164,,,,,,,0.619906797,0.017016802,-0.510413271,,,,,,,,,,,,,0.921201191,0.373810044,0.185531595,,2.301066689,0.047230899,-0.279517855,1.103236022,0.238461419,1.661929789,0.22692424,0.647950635,0.963419563,0.690809852,,,
IPI:IPI00001611.1,15464130,-0.170463708,-0.561000257,-1.151301372,-0.07609508,,-0.599135394,-0.641505376,-0.417155845,-1.17632258,,-1.257769704,-1.38379452,-0.969588813,-0.046052629,-1.046343732,-0.33956596,-1.708120464,-0.971245182,-1.076954692,-1.573131086,-0.720429871,,-0.081872091,-1.398181381,-0.822590216,0.052457122,0.781832939,-1.01165527,-1.052429225,0.043693323,-0.409141825,0.56271819,-0.377959317,-0.455421059,-0.55654188,-0.186526881,-0.401866681,-1.070147089,-1.137818932
IPI:IPI00001611.1,15464591,0.557096481,0.377217614,0.081602334,,,,0.278217401,,,,-0.3758079,,-0.303548051,1.578884168,-0.061412203,0.133170505,-0.173810562,0.228773534,-0.169267978,-0.673289439,0.58652505,-0.744567032,-0.016256953,,-0.245310829,,1.23471256,-0.295588064,,0.083700093,-0.177023175,1.051365448,0.317747154,0.000887971,,,0.430480095,0.033796775,-0.081562797
IPI:IPI00001611.1,15496006,,0.829996167,,,,,0.133166694,,,,,,,0.980674443,,0.262134018,-0.314550928,0.535392873,-0.340399652,-0.218548762,0.109650793,,,,,,1.479376756,,,1.017023422,,,,,,,,,
IPI:IPI00001701.2,10175131,,-1.201783209,,,,,,,,,,,,,,-1.198435515,-2.015105026,-1.71766837,,,,-1.591712508,-0.79408266,-1.93964119,,,,,-2.593512178,,-1.413751594,-0.96357379,,-1.824042862,-1.399031414,-1.264940957,-0.95485134,-1.005419558,
IPI:IPI00001718.1,72589241,,,0.447434513,,,0.933945044,,,0.444463049,,0.383805219,,,,,0.134393301,,,,,,,,,,,0.257540136,,1.101930023,,1.507250295,,,,-0.0362515,,,,
IPI:IPI00001786.3,16263663,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.371240349,0.896250282,,,,,,,,,,,
IPI:IPI00001922.1,16476975,,1.228353451,,,,1.818256932,0.852477875,2.034437713,0.953831748,0.480049032,0.81812031,1.591406719,,0.59200447,,1.260088883,1.726515481,,,,,,,,,,,,0.369486793,0.410374952,0.480867338,,,,,0.080862986,,1.86955431,
