Protein Name,D8_KO1,D8_KO2,D8_KO3,D8_KO4,D8_WT_1,D8_WT_3,D8_WT_4,D8_WT_5
PSB6_MOUSE,0.242839507,0.161467416,-0.112390416,0.00619394,-0.511579853,-0.159739004,-0.418798852,-0.14593974
PSA3_MOUSE,-0.9125082,-0.720098318,-1.260950746,-0.998410862,-1.271072418,-1.45905038,-1.286832141,-1.356127159
PSA2_MOUSE,0.221784929,0.085930321,-0.016547988,-0.022657162,-0.247289225,-0.397657908,-0.215036397,-0.25035929
PSME2_MOUSE,-0.113237845,-0.317783013,-0.336137815,-0.253955358,-0.554017547,-0.925757408,-0.433718938,-0.48542336
PRS6A_MOUSE,1.182176305,1.11864973,0.99890659,1.107049118,0.804883682,0.725041164,0.831954304,0.800850759
KDM5C_MOUSE,-0.617720176,-0.604291654,-0.664466925,-0.642333421,-0.824677477,,-0.98795609,-0.99652708
PSA6_MOUSE,-0.059907024,-0.331199319,-0.502165935,-0.32692787,-0.537298186,-0.647709675,-0.561939542,-0.641580373
PSA7_MOUSE,-0.307885741,-0.31055606,-0.422875839,-0.340445156,-0.861699399,-0.529629474,-0.703114869,-0.430254683
PSMD4_MOUSE,-0.807709214,-0.568343791,-0.66061205,-0.438142994,-0.966581275,,-0.850148875,-0.851919636
PSA5_MOUSE,0.043409958,0.022000447,-0.069000311,-0.046328961,-0.203194244,-0.337074108,-0.388530705,-0.184446227
PSB1_MOUSE,-0.507919666,-0.730927643,-0.762122105,-0.660408433,-0.928504083,-0.884209466,-0.933039948,-0.978593302
PRS6B_MOUSE,-0.775219892,-0.809922682,-0.888666767,-0.834306093,-0.998301286,-1.157391115,-1.051914866,-1.141935511
PSA1_MOUSE,-0.142803672,-0.188254124,-0.295429017,-0.231429328,-0.359118796,-0.583614631,-0.474330985,-0.470444971
PSMD2_MOUSE,-0.194926158,-0.213579872,-0.275261014,-0.233362342,-0.409230607,-0.424778187,-0.406697736,-0.402058405
PSMD7_MOUSE,-0.656522695,-0.839928775,-0.810189085,-0.769457554,-0.884586129,-1.019135413,-0.930598793,-0.899602172
PRS4_MOUSE,-0.785694484,-0.888957611,-0.960514179,-0.95390242,-1.063376186,-0.99806218,-1.012393148,-0.998699823
PRS7_MOUSE,-1.058432688,-1.341704743,-1.644731268,-1.463638852,,,-1.411438955,
PSA7L_MOUSE,-1.074466838,-1.212534905,-1.34448449,-0.892366901,,,,-0.797330571
SPTN1_MOUSE,0.543923116,0.624355089,0.59889513,0.091419973,-0.617950481,-0.093112625,-0.799825578,-0.629775521
SNX2_MOUSE,-0.207031141,-0.404591846,-0.647161128,-0.518565089,,-1.460620019,-1.454069267,-0.564638766
PLEC_MOUSE,-0.555259012,-0.743220416,-0.672275211,-0.686743877,-1.264826846,-1.394640957,-1.446528407,-1.375554722
1433T_MOUSE,0.201867687,0.217559422,0.233604286,0.25766961,,-0.711955751,-0.542240686,-0.109993553
HS74L_MOUSE,-0.073612238,-0.225086587,-0.404507703,-0.238994447,-0.87539153,-0.828715906,-0.948370172,-1.012950808
HBB2_MOUSE,-0.013772771,-0.105143664,-0.299364225,0.078223185,-0.962981303,-1.057219568,-0.954569056,-0.053212691
GSTM4_MOUSE,0.945990648,0.65498551,0.086402879,0.334600246,0.137787053,-0.214614007,-0.093523243,-0.45932416
CATD_MOUSE,0.125487386,-0.1092059,-0.481207976,-0.235573586,-0.604057805,-1.025483434,-0.883171133,-0.836413104
F10A1_MOUSE,-0.267708343,-0.426323382,-0.49605886,-0.41805861,-1.198079799,-1.257890628,-1.057438873,-0.689917063
COF2_MOUSE,0.051297553,-0.033688898,-0.248568233,-0.210127682,-0.747677239,-0.938477233,-0.615358186,-0.570422551
DEST_MOUSE,0.242644783,0.202497253,-0.065828651,0.040391583,-0.612243678,-0.741092587,-0.335752357,-0.320499278
GSTM7_MOUSE,0.918925748,0.371657204,0.17489143,0.333780734,0.056626926,-0.214614007,-0.137864123,-0.315311082
NPL_MOUSE,-0.594881934,-0.845382813,-1.040581743,-0.885882456,-1.22955755,,-1.655828019,-1.438156351
GSTM6_MOUSE,0.062246271,-0.506467523,-0.682467616,-0.534800417,-0.770554649,-1.024817878,-1.005625761,-1.255079259
RBM14_MOUSE,0.65236734,0.852289284,0.782470649,0.851174866,0.001291188,0.335421177,0.022550908,0.42671812
ECHB_MOUSE,-0.675411584,-0.469068949,-0.513591641,-0.770160351,-1.034772119,-1.058844207,-0.956510064,-1.678952125
GSTM2_MOUSE,0.857790143,0.382750486,0.186159622,0.333780734,-0.00695944,-0.15705624,-0.11734883,-0.258377466
TPR_MOUSE,-0.026721492,-0.461178876,-0.315781343,-0.043143265,-0.494315269,-0.994325196,,-0.829323307
CAPZB_MOUSE,0.073907419,0.171383823,-0.2200791,-0.092886136,-0.55302507,-0.723785994,-0.505814496,-0.499401186
PCCA_MOUSE,-0.158568243,-0.302429971,-0.420587385,-0.258981564,-0.586679902,,-1.258778692,-0.66813184
CBR3_MOUSE,-0.409729325,-0.545326535,-1.014258811,-0.545645399,-1.259280907,-1.301595864,-0.891413309,-1.23452464
CAZA1_MOUSE,0.061859612,0.202910051,-0.029129973,-0.021086707,-0.502860367,-0.645517417,-0.490764386,-0.301534504
PLCD1_MOUSE,-0.270956331,-0.554505965,-0.634339761,-0.673325285,-1.097126505,-1.217064192,-1.109349703,-0.814324617
RL5_MOUSE,-0.1047597,-0.194452082,-0.183476296,-0.157072766,-0.927447491,-0.813505433,-0.390151044,-0.557697462
HS105_MOUSE,-0.114643053,-0.225484705,-0.404507703,-0.238994447,-0.744011185,-0.87857717,-0.618595501,-0.749303589
APOA1_MOUSE,0.951161913,0.705493638,0.568529061,0.5608666,0.328793897,0.028582311,0.255437867,0.169182225
CYBP_MOUSE,-0.590718937,-0.469756973,-0.29119738,-0.28712273,-0.909538787,-0.929536521,-0.866125542,-0.910994725
EF1A2_MOUSE,0.712917862,0.566905452,0.608800538,0.702407016,0.197947553,0.131187459,0.174173536,0.119692541
